City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.17,65,62,9.69,broken clouds
314,Tilichiki,RU,60.4667,166.1,26.91,84,100,11.23,light snow
315,Asheville,US,35.6009,-82.554,71.42,94,75,1.01,broken clouds
316,Abu Samrah,SY,35.3029,37.1841,65.12,25,0,5.03,clear sky
317,Aswan,EG,24.0934,32.907,77.09,30,0,10.69,clear sky
318,Neryungri,RU,56.6709,124.6491,25.79,90,100,2.55,light snow
319,Margate,GB,51.3813,1.3862,53.96,73,27,6.62,scattered clouds
320,Oussouye,SN,12.485,-16.5469,81.72,72,48,4.74,scattered clouds
321,Podgornoye,RU,51.735,39.1496,34.02,69,0,2.24,clear sky
322,San Cristobal,VE,7.7669,-72.225,75.38,71,69,4.85,broken clouds
323,Mitsamiouli,KM,-11.3847,43.2844,75.45,84,86,3.91,overcast clouds
324,Manta,EC,-0.95,-80.7333,73.18,83,90,11.5,overcast clouds
325,Ponta Delgada,PT,37.7333,-25.6667,75.51,100,40,13.8,scattered clouds
326,Sistranda,NO,63.7256,8.834,51.76,83,100,32.48,overcast clouds
327,Airai,TL,-8.9266,125.4092,60.75,62,14,2.35,few clouds
328,Cabedelo,BR,-6.9811,-34.8339,79.47,80,71,15.93,broken clouds
329,Mago,RU,53.2514,140.1822,32.94,75,27,2.17,scattered clouds
330,Bonfim,BR,3.0833,-59.95,82.33,71,100,3.78,overcast clouds
331,Novogurovskiy,RU,54.4678,37.3428,33.39,61,21,5.44,few clouds
332,Port Lincoln,AU,-34.7333,135.8667,53.94,57,17,7.74,few clouds
333,Jacqueville,CI,5.2052,-4.4146,80.51,88,99,8.01,overcast clouds
334,Makakilo City,US,21.3469,-158.0858,82.72,55,40,12.66,scattered clouds
335,Umea,SE,63.8284,20.2597,51.73,100,90,11.5,drizzle
336,Asfi,MA,32.2994,-9.2372,70.36,73,100,4.61,overcast clouds
337,Heishan,CN,41.6892,122.1128,45.45,69,55,7.99,light rain
338,Broome,US,42.2506,-75.833,70.86,72,90,3.44,overcast clouds
339,Niono,ML,14.2526,-5.993,94.42,26,56,8.23,broken clouds
340,Kamina,CD,-8.7386,24.9906,66.29,93,50,5.19,light rain
341,Vanimo,PG,-2.6741,141.3028,75.65,93,100,5.14,light rain
342,Kabare,CD,-2.4683,28.8242,61.66,90,52,2.44,broken clouds
343,Gasa,PS,31.5,34.4667,71.91,61,0,6.78,clear sky
344,Mehamn,NO,71.0357,27.8492,40.91,71,100,15.14,overcast clouds
345,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,4.61,broken clouds
